tokenized,sentiment,sentiment_nb,sentiment_svm,sentiment_vader,sentiment_textblob
"['need', 'replace', 'old', 'phone', 'didn', '’', 't', 'want', 'spend', 'money', 'require', 'new', 'one', 'one', 'easy', 'purchase', 'come', 'quickly', 'fairly', 'easy', 'set', 'make', 'sure', 'current', 'backup', 'phone', 'transfer', 'minor', 'wing', 'nothing', 'crazy', 'little', 'summed', 'battery', 'life', 'hopeful', 'would', 'higher', 'still', 'improvement', 'old', 'phone']",positive,positive,positive,positive,positive
"['recommend', 'buy', 'phone', 'buy', 'carrier', 'go', 'use', 'like', 'mobile', 'sprint', 'lock', 'get', 'locked', 'cricket', 'far', 'it', '’', 's', 'pretty', 'good', 'super', 'easy', 'set', 'great', 'price', 'semi', 'problem', 'max', 'battery', 'capacity', 'eh', 'price', 'can', '’', 't', 'complain']",positive,positive,positive,positive,positive
"['ship', 'super', 'quick', 'phone', 'good', 'battery', 'health', 'nice', 'order', 'excellent', 'condition', 'pretty', 'deep', 'small', 'scratch', 'middle', 'screen', 'also', 'wasn', '’', 't', 'clean', 'well', 'get', 'pay', 'buy', 'refurbish', 'overall', 'i', '’', 'm', 'satisfied', 'purchase', 'would', 'buy', 'seller']",positive,positive,positive,positive,positive
"['take', 'little', 'bit', 'get', 'happy', 'purchase', 'scratch', 'crack', 'downside', 'battery', 'price', 'think', 'that', '’', 's', 'worth', 'nothing', 'wrong', 'aside', 'make', 'purchase']",positive,positive,positive,positive,neutral
"['get', 'one', 'classify', '“', 'good', '”', 'can', '’', 't', 'see', 'damage', 'phone', 'look', 'like', 'new', 'set', 'go', 'perfectly', 'absolutely', 'issue', 'e', 'sim', 'instal', 'without', 'problem', 'battery', 'expect', 'old', 'phone', 'year', 'half', 'old', 'it', '’', 's', 'phone', 'though', 'last', 'longer', 'old', 'iphone']",positive,positive,positive,positive,positive
"['seller', 'great', 'send', 'back', 'first', 'phone', 'think', 'defective', 'turned', 'significant', 'conflict', 'portability', 'old', 'phone', 'information', 'upgrade', 'cut', 'phone', 'set', 'transfer', 'old', 'phone', 'material', 'first', 'want', 'upgrade', 'software', 'prior', 'transfer', 'upgrade', 'spoil', 'around', 'hrs', 'portability', 'function', 'wifi', 'cloud', 'simply', 'would', 'work', 'att', 'couldnt', 'figure', 'send', 'phone', 'back', 'think', 'defective', 'turn', 'fine', 'get', 'new', 'phone', 'model', 'etch', 'phone', 'issue', 'think', 'point', 'can', 'not', 'coincidence', 'must', 'software', 'conflict', 'audit', 'much', 'lingering', 'workaround', 'situation', 'aside', 'upgrading', 'wife', 'ancient', 'xe', 'think', 'happen', 'lot', 'phone', 'matter', 'model', 'cut', 'new', 'phone', 'opt', 'set', 'new', 'phone', 'old', 'phone', 'ie', 'transfer', 'old', 'phone', 'data', 'yet', 'go', 'setting', 'opt', 'update', 'software', 'erase', 'phone', 'keep', 'remove', 'impediment', 'port', 'information', 'keep', 'sim', 'information', 'therein', 'give', 'option', 'erase', 'ok', 'put', 'back', 'keep', 'boot', 'phone', 'back', 'opt', 'set', 'old', 'phone', 'likely', 'old', 'phone', 'prompt', 'first', 'set', 'wifi', 'cloud', 'make', 'sure', 'back', 'old', 'phone', 'cloud', 'set', 'opt', 'option', 'use', 'direct', 'call', 'transfer', 'pain', 'apple', 'insist', 'use', 'proprietary', 'call', 'mean', 'first', 'port', 'everything', 'onto', 'laptop', 'transfer', 'safer', 'quicker', 'would', 'unless', 'cloud', 'issue', 'ndor', 'bad', 'wifiphone', 'work', 'great', 'since', 'workaround', 'want', 'compliment', 'seller', 'quick', 'send', 'replacement', 'phone', 'u', 'communicative', 'issue', 'hope', 'workaround', 'help', 'others', 'utterly', 'battle', 'u', 'apple', 'need', 'get', 'together', 'portability', 'issue', 'since', 'release', 'new', 'model', 'apparently', 'issue', 'number', 'old', 'new', 'transfer', 'disappointing', 'catch']",positive,positive,positive,positive,positive
"['love', 'phone', 'mine', 'come', 'charger', 'cord', 'it', '’', 's', 'work', 'well', 'far', 'i', '’', 've', 'week', 'it', '’', 's', 'durable', 'great', 'price', 'good', 'condition', 'price', 'pay', 'gigs', 'one', 'little', 'scratch', 'top', 'camera', 'case', 'can', '’', 't', 'even', 'tell', 'happy', 'purchase', 'recommend']",positive,positive,positive,positive,positive
"['phone', 'come', 'unlocked', 'jamaicabattery', 'percent', 'daughter', 'absolutely', 'love', 'minor', 'visible', 'scratch', 'bk', 'u', 'get', 'u', 'pay', 'forfunctions', 'well']",positive,positive,positive,positive,positive
"['overall', 'phone', 'work', 'great', 'look', 'brand', 'new', 'complaint', 'restart', 'one', 'time', 'froze', 'try', 'set', 'work', 'well']",positive,positive,positive,positive,positive
"['far', 'good', 'take', 'phone', 'carrier', 'yet', 'get', 'number', 'switch', 'super', 'nice', 'phone', 'price', 'cant', 'beat', 'save', 'alot', 'money', 'buy', 'purchase', 'amazon', 'bashing', 'trading', 'would', 'recommend', 'anyone', 'thank', 'much']",positive,positive,positive,positive,positive
"['happy', 'far', 'phone', 'arrive', 'excellent', 'condition', 'tiny', 'scratch', 'really', 'noticeable', 'unless', 'really', 'look', 'color', 'exactly', 'picture', 'hold', 'charge', 'issue', 'phone', 'get', 'hot', 'play', 'game', 'watch', 'videos', 'temperature', 'remain', 'fineoverall', 'feel', 'good', 'purchase']",positive,positive,positive,positive,positive
"['item', 'good', 'condition', 'visible', 'scratch', 'side', 'phone', 'think', 'get', 'excellent', 'category', 'available', 'prefer', 'premium']",positive,positive,positive,positive,positive
"['purchase', 'want', 'new', 'phone', 'seem', 'less', 'expensive', 'way', 'go', 'refurbished', 'iphone', 'come', 'nice', 'box', 'charger', 'cable', 'charger', 'usually', 'problem', 'people', 'time', 'accumulate', 'several', 'time', 'look', 'brand', 'new', 'work', 'fine', 'unfortunately', 'assume', 'refurbish', 'meant', '“', 'like', 'new', '”', 'apparently', 'also', 'mean', '“', 'it', 'check', 'clean', 'work', '”', 'mean', 'new', 'battery', 'mine', 'battery', 'charge', 'capacity', 'fairness', 'company', '’', 's', 'fine', 'print', 'indicate', 'that', '’', 's', 'overlook', 'fairness', 'get', '“', 'new', '”', 'phone', 'one', '“', 'like', 'new', '”', 'meant', 'like', 'new', 'one', 'close', 'iphone', 'new', 'one', 'work', 'well', 'hold', 'charge', 'long', 'doesn', '’', 't', 'matter', 'good', 'choice']",positive,positive,positive,positive,positive
"['get', 'phone', 'two', 'day', 'ago', 'it', '’', 's', 'work', 'good', 'far', 'issue', 'battery', 'percent', 'isn', '’', 't', 'bad', 'use', 'phone', 'physical', 'appearance', 'good', 'far', 'say', 'it', '’', 's', 'work', 'well', 'four', 'day']",positive,positive,positive,positive,positive
"['take', 'chance', 'purchasing', 'refurbish', 'phone', 'replace', 'old', 'one', 'truth', 'far', 'disappointed', 'phone', 'come', 'well', 'package', 'wrap', 'state', 'excellent', 'condition', 'visible', 'scratch', 'anything', 'like', 'brand', 'new', 'wow', 'update', 'review', 'use', 'please']",positive,positive,positive,positive,positive
"['condition', 'expect', 'overall', 'nice']",positive,positive,positive,positive,positive
"['small', 'crack', 'near', 'camera', 'top', 'speaker', 'phone', 'perfect', 'dont', 'know', 'little', 'slow', 'brand', 'new', 'phone', 'set', 'sim', 'time', 'get', 'hang', 'iphone', 'work', 'perfectly', 'battery', 'life', 'af', 'get', 'month']",positive,positive,positive,positive,positive
"['phone', 'seem', 'work', 'well', 'however', 'cosmetically', 'scratch', 'corner', 'view', 'away', 'inch', 'list', 'say', 'free', 'scratch', 'view', 'inch', 'big', 'deal', 'advertise']",positive,positive,positive,positive,positive
"['time', 'open', 'box', 'make', 'call', 'minute', 'old', 'phone', 'sim', 'card', 'new', 'phone', 'need', 'sim', 'buy', 'another', 'nothing', 'problem', 'try', 'set', 'phone', 'phone', 'breeze', 'would', 'totally', 'endorse', 'phone', 'seller']",positive,positive,positive,positive,positive
"['receive', 'today', 'might', 'early', 'physical', 'condition', 'phone', 'great', 'two', 'minor', 'scratch', 'also', 'check', 'phone', 'it', '’', 's', 'real', 'apple', 'phone', 'use', 'two', 'year', 'great', 'condition', 'super', 'happy', 'thanks', 'seller']",positive,positive,positive,positive,positive
"['iphone', 'show', 'like', 'new', 'condition', 'come', 'lightning', 'cable', 'case', 'someone', 'else', 'run', 'issue', 'use', 'visible', 'say', 'it', '’', 's', 'verizon', 'assume', 'incorrectly', 'could', 'use', 'verizon', 'lock', 'phone', 'work', 'return', 'first', 'phone', 'buy', 'purchase', 'unlocked', 'phone', 'everything', 'transfer', 'old', 'phone', 'fine', 'everything', 'work', 'great', 'complaint']",positive,positive,positive,positive,positive
"['queen', '¡lingua', 'estate', 'un', 'poco', 'nervosa', 'por', 'realize', 'esta', 'camera', 'ya', 'que', 'e', 'la', 'primera', 'vez', 'que', 'compare', 'also', '“', 'renovate', '”', 'que', 'bueno', 'experience', 'primera', 'llevado', 'el', 'iphone', 'legó', 'en', 'excellent', 'estado', 'con', 'la', 'capacidad', 'de', 'latería', 'al', 'nuevo', 'revisando', 'el', 'número', 'de', 'serie', 'verifiedé', 'que', 'en', 'effect', 'el', 'cellular', 'e', 'nuevos', 'rangeños', 'de', 'ningún', 'tipo', 'quizá', 'un', 'rayón', 'diminuto', 'en', 'la', 'pantalla', 'que', 'e', 'imperceptible', 'primera', 'vista', 'menos', 'que', 'lo', 'observe', 'cuidadosamente', 'la', 'latería', 'le', 'dra', 'día', 'medio', 'dependiendo', 'del', 'uso', 'que', 'le', 'dé', 'esteré', 'una', 'semana', 'para', 'testearlo', 'bien', 'describer', 'una', 'restña', 'correct', 'para', 'que', 'la', 'demás', 'personas', 'span', 'bien', 'coal', 'fue', 'mi', 'experience', 'así', 'facility', 'la', 'camera', 'de', 'otros', 'client', 'en', 'fin', 'story', 'satisfecho', 'con', 'mi', 'camera', 'racial', 'al', 'vendor', 'por', 'enviarme', 'el', 'product', 'rápid']",positive,neutral,positive,neutral,negative
"['try', 'save', 'money', 'renew', 'finite', 'plan', 'another', 'month', 'buy', 'refurbish', 'iphone', 'son', 'phone', 'look', 'brand', 'new', 'even', 'though', 'unlocked', 'spent', 'hour', 'phone', 'finite', 'person', 'try', 'get', 'finite', 'account', 'frustrate', 'even', 'call', 'apple', 'one', 'could', 'figure', 'wrong', 'finally', 'give', 'buy', 'new', 'iphone', 'finite', 'seller', 'great', 'issue', 'refund', 'actually', 'happen', 'quickly', 'hindsight', 'wish', 'buy', 'new', 'one', 'finite', 'start', 'give', 'seller', 'cause', 'don', '’', 't', 'think', 'fault', 'email', 'twice', 'answer', 'back', 'didn', '’', 't', 'really', 'help', 'much', 'responsive', 'refund']",positive,positive,positive,positive,positive
"['phone', 'come', 'excellent', 'condition', 'describe', 'fiancé', 'couldn', '’', 't', 'happier', 'phone', 'work', 'well', 'screen', 'body', 'flawless', 'great', 'battery', 'health', 'need', 'new', 'phone']",positive,positive,positive,positive,positive
"['phone', 'come', 'great', 'condition', 'scratch', 'anything', 'battery', 'health', 'everything', 'order', 'keep', 'get', 'delay', 'great']",positive,positive,positive,positive,positive
"['like', 'new', 'condition']",positive,positive,positive,positive,positive
"['pretty', 'much', 'important', 'thing', 'iphone', 'matter', 'camera', 'scratch', 'even', 'overall', 'iphone', 'always', 'battery', 'percentagemine', 'excellent', 'condition', 'hope', 'last', 'buy', 'use', 'peru', 'state', 'charge', 'phone', 'whole', 'lot', 'less', 'convenient', 'u', 'surround', 'charger', 'plugsoutletsi', 'update', 'within', 'month', 'see', 'battery', 'life', 'hold', 'look', 'great', 'even', 'get', 'usa', 'cable', 'charger', 'box', 'plus']",positive,positive,positive,positive,positive
"['issue', 'dent', 'scratch', 'nothing', 'clean', 'crop', 'complaint', 'come', 'time', 'exact', 'order', 'color', 'everything', 'battery', 'health', 'great']",positive,positive,positive,positive,positive
"['order', 'phone', 'good', 'condition', 'accord', 'amazon', 'isn', '’', 't', 'suppose', 'scratch', 'screen', 'good', 'condition', 'deep', 'scratch', 'small', 'scratch', 'screen', 'upset', 'doesn', '’', 't', 'follow', 'amazon', 'say', 'battery', 'health', 'make', 'scratch', 'bit', 'disappointed', 'scratchesbesides', 'phone', 'good', 'condition', 'bit', 'stuff', 'mark', 'side', 'case', 'hid', 'speaker', 'loud', 'fully', 'unlocked', 'able', 'switch', 'carrier', 'easily', 'worry', 'saw', 'review', 'say', 'phone', 'wasn', '’', 't', 'unlock', 'didn', '’', 't', 'issueoverall', 'i', '’', 'm', 'happy', 'phone', 'scratch', 'disappoint']",positive,positive,positive,positive,positive
"['iphone', 'get', 'perfect', 'condition', 'even', 'battery', 'life', 'glad', 'get', 'refurbish', 'phone', 'amazon']",positive,positive,positive,positive,positive
"['switch', 'lag', 'work', 'good', 'new', 'honestly', 'complaint', 'i', '’', 'm', 'write', 'review', 'right', 'box', 'presentation', 'give', 'brand', 'new', 'could', 'tell', 'refurbish', 'didn', '’', 't', 'already', 'know', 'look', 'good', 'feel', 'good', 'definitely', 'give', 'quality']",positive,positive,positive,positive,positive
"['good', 'battery', 'life', 'iphone', 'red']",positive,positive,positive,positive,positive
"['battery', 'life', 'sure', 'iphone', 'defect', 'weird', 'distrust', 'back', 'camera', 'haven', '’', 't', 'issue', 'yet', 'i', '’', 'm', 'setting', 'can', '’', 't', 'speak', 'customer', 'issue', 'far', 'goodedit', 'week', 'weird', 'junk', 'back', 'camera', 'phone', 'scratch', 'cent', 'work', 'properly', 'downside', 'camera', 'doesn', '’', 't', 'detect', 'qr', 'code', 'that', '’', 's', 'deal', 'breaker', 'glad', 'work', 'satisfy', 'use', 'iphone']",positive,positive,positive,positive,positive
"['new', 'iphone', 'three', 'day', 'love', 'call', 'tracfone', 'get', 'phone', 'set', 'nice', 'set', 'minute', 'iphone', 'much', 'easy', 'use', 'old', 'iphone', 'happy', 'new', 'phone', 'itis', 'easy', 'use']",positive,positive,positive,positive,positive
"['give', 'seller', 'product', 'i', '’', 've', 'hold', 'write', 'review', 'give', 'phone', 'time', 'month', 'issue', 'buy', 'use', 'iphone', 'even', 'scratch', 'device', 'screen']",positive,positive,positive,negative,neutral
['good'],positive,positive,positive,positive,positive
"['phone', 'arrive', 'package', 'nicely', 'included', 'charge', 'cube', 'cord', 'present', 'driver', 'license', 'sign', 'index', 'deliver', 'scratch', 'side', 'front', 'back', 'screen', 'look', 'new', 'disappointed', 'however', 'check', 'battery', 'health', 'would', 'think', '“', 'excellent', 'like', 'new', '”', 'phone', 'would', '’', 've', 'come', 'new', 'battery', 'since', 'always', 'experience', 'apple', 'refurbish', 'product', 'realize', 'certified', 'apple', 'refurbish', 'product', 'purchase', 'gift', 'daughter', 'time', 'return', 'get', 'different', 'phone', 'price', 'pay', 'would', '’', 've', 'expect', '“', 'like', 'new', '”', 'phone', 'new', 'battery']",positive,positive,positive,negative,positive
"['sure', 'face', 'protective', 'screen', 'please', 'advise', 'happy', 'everything', 'phone']",positive,positive,positive,positive,positive
"['phone', 'come', 'pristine', 'condition', 'sell', 'bash', 'trading', 'come', 'much', 'low', 'price', 'compare', 'renewedrefurbished', 'seller', 'still', 'arrive', 'amazing', 'condition', 'even', 'arrive', 'battery', 'health', 'complaint', 'whatsoever', 'definitely', 'look', 'guy']",positive,positive,positive,positive,positive
"['wayyyyy', 'small', 'thought', 'look', 'almost', 'like', 'iphone', 'anyways', 'also', 'doesn', '’', 't', 'slot', 'enter', 'sim', 'card', 'come', 'sim', 'card', 'opener', 'thing', 'really', 'make', 'sense', 'haven', '’', 't', 'start', 'use', 'it', '’', 's', 'pretty', 'small']",positive,positive,positive,positive,neutral
"['el', 'envío', 'excellent', 'lego', 'en', 'el', 'tiempo', 'estimate', 'el', 'cellular', 'function', 'excellent', 'como', 'si', 'fuer', 'nuevo', 'la', 'cargo', 'tenía', 'nada', 'de', 'rayados', 'recommend', 'este', 'vendor', 'al']",positive,positive,positive,negative,neutral
"['far', 'good', 'hesitant', 'purchase', 'phone', 'look', 'brand', 'new', 'dirt', 'build', 'around', 'camera', 'previous', 'case', 'great', 'thank']",positive,positive,positive,positive,positive
"['order', 'basic', 'quality', 'level', 'mixed', 'feeling', 'order', 'it', '’', 's', 'like', 'get', 'ta', 'one', 'lucky', 'one', 'one', 'get', 'good', 'one', 'roll', 'dice', 'cheap', 'master', 'love', 'quality', 'time', 'haha', 'get', 'lucky', 'iphone', 'mint', 'condition', 'problem', 'battery', 'life', 'setting', 'say', 'percent', 'i', '’', 've', 'phone', 'nearly', 'month', 'hasn', '’', 't', 'change', 'charge', 'percent', 'every', 'time', 'last', 'long', 'time', 'die', 'percent', 'life', 'everything', 'else', 'perfect', 'order', 'basic', 'cheap', 'quality', 'level']",positive,positive,positive,positive,positive
"['update', 'picture', 'overall', 'phone', 'nice', 'work', 'great', 'scratch', 'chip', 'battery', 'life', 'isn', '’', 't', 'huge', 'deal', 'i', '’', 'm', 'home', 'lot', 'time', 'keep', 'charge', 'side', 'obviously', 'paint', 'see', 'back', 'front', 'glass', 'little', 'bit', 'cosmetic', 'battery', 'life', 'would', 'recommend']",positive,positive,positive,positive,positive
"['good', 'phone', 'work', 'great', 'scratch', 'battery', 'good', 'look', 'like', 'new', 'thank']",positive,positive,positive,positive,positive
"['boyfriend', 'love', 'new', 'phone', 'look', 'like', 'new', 'get', 'he', '’', 's', 'never', 'buy', 'use', 'talk', 'good', 'experience', 'use', 'phone', 'amazon', 'he', '’', 's', 'glad', 'save', 'phone', 'store', 'go', 'cost', 'love', 'feature', 'phone']",positive,positive,positive,positive,positive
"['far', 'good', 'complaint', 'phone', 'work', 'properly', 'arrive', 'quick', 'well', 'excellent', 'condition']",positive,positive,positive,positive,positive
"['screen', 'quality', 'good', 'sound', 'quality', 'great', 'value', 'money', 'ease', 'use']",positive,positive,positive,positive,positive
"['good', 'part', 'however', 'phone', 'completely', 'wipe', 'facebook', 'account', 'transfer', 'previous', 'owner', '’', 's', 'account', 'go', 'away']",positive,negative,positive,positive,positive
"['excellent', 'come', 'battery', 'life', 'pretty', 'blue', 'color', 'set', 'less', 'minute', 'total', 'along', 'sim', 'account', 'transfer']",positive,positive,positive,positive,positive
"['get', 'mine', 'fast', 'open', 'today', 'love', 'device', 'fault', 'far', 'clean', 'scratch']",positive,positive,positive,positive,positive
"['work', 'fine', 'far']",positive,positive,positive,positive,positive
"['wow', 'amaze', 'quality', 'body', 'look', 'flawless', 'system', 'run', 'beautifully', 'thing', 'battery', 'die', 'really', 'quickly', 'phone', 'overall', 'amazing']",positive,positive,positive,positive,positive
"['excellent', 'condition', 'estéticas', 'de', 'bacteria', 'como', 'nuevo']",positive,positive,positive,neutral,neutral
"['está', 'mal', 'tiene', 'laguna', 'imperfecciones', 'torque', 'e', 'de', 'uso', 'pero', 'function', 'bien']",positive,neutral,positive,negative,neutral
"['phone', 'arrive', 'networking', 'order', 'happens', 'time', 'time', 'doesn', '’', 't', 'always', 'happen', 'quality', 'service', 'event', 'issue', 'phone', 'easy', 'return', 'quick', 'turn', 'around', 'refund']",positive,positive,positive,positive,positive
"['i', '’', 'm', 'please', 'iphone', 'purchase', 'amazon', 'truly', 'unlocked', 'use', 'prepaid', 'service', 'straight', 'talk', 'able', 'simply', 'call', 'phone', 'company', 'number', 'transfer', 'phone', 'easy', 'easy', 'phone', 'look', 'like', 'would', 'go', 'phone', 'store', 'purchase', 'brand', 'new']",positive,positive,positive,positive,positive
"['phone', 'come', 'perfect', 'condition', 'scratch', 'battery', 'life', 'still', 'great', 'love', 'purchase', 'son']",positive,positive,positive,positive,positive
"['iphone', 'come', 'excellent', 'condition', 'battery', 'health', 'consider', 'pretty', 'good', 'phone', 'come', 'fully', 'unlocked', 'advertise']",positive,positive,positive,positive,positive
