review,tokenized,rating_cleaned,sentiment
"Needed to replace my old I phone but didn’t want to spend the money required for a new one. This one was easy to purchase, came quickly and was fairly easy to set up.  Make sure you have a current backup for your phone before you transfer.  Has a few minor dings but nothing crazy.  A little bummed that the battery life was in the 80s, I was hopeful it would be higher but still and improvement from my old phone.","['need', 'replace', 'old', 'phone', 'didn', '’', 't', 'want', 'spend', 'money', 'require', 'new', 'one', 'one', 'easy', 'purchase', 'come', 'quickly', 'fairly', 'easy', 'set', 'make', 'sure', 'current', 'backup', 'phone', 'transfer', 'minor', 'wing', 'nothing', 'crazy', 'little', 'summed', 'battery', 'life', 'hopeful', 'would', 'higher', 'still', 'improvement', 'old', 'phone']",4,positive
"I recommend if you buy this phone, you should buy it from the carrier you are going to use. like t-mobile or sprint locked. i got it locked to cricket and so far it’s pretty good. super easy to set up and great for the price. the only semi problem is the max battery capacity is at %89 but eh for the price i can’t complain.","['recommend', 'buy', 'phone', 'buy', 'carrier', 'go', 'use', 'like', 'mobile', 'sprint', 'lock', 'get', 'locked', 'cricket', 'far', 'it', '’', 's', 'pretty', 'good', 'super', 'easy', 'set', 'great', 'price', 'semi', 'problem', 'max', 'battery', 'capacity', 'eh', 'price', 'can', '’', 't', 'complain']",4,positive
"Shipping was super quick and the phone is good!  It has a battery health of 85%, so that was nice. I ordered excellent condition, but there is a pretty deep (smaller) scratch in the middle of the screen. It also wasn’t cleaned very well, or at all. But you do get what you pay for when you buy refurbished! Overall, I’m satisfied with my purchase, and would buy from the seller again.","['ship', 'super', 'quick', 'phone', 'good', 'battery', 'health', 'nice', 'order', 'excellent', 'condition', 'pretty', 'deep', 'small', 'scratch', 'middle', 'screen', 'also', 'wasn', '’', 't', 'clean', 'well', 'get', 'pay', 'buy', 'refurbish', 'overall', 'i', '’', 'm', 'satisfied', 'purchase', 'would', 'buy', 'seller']",4,positive
"Took a little bit to get here but very happy with this purchase. No scratches or cracks, only downside is battery is at 89% but for the price I think that’s worth it. Nothing wrong with it aside that, make that purchase!!!","['take', 'little', 'bit', 'get', 'happy', 'purchase', 'scratch', 'crack', 'downside', 'battery', 'price', 'think', 'that', '’', 's', 'worth', 'nothing', 'wrong', 'aside', 'make', 'purchase']",4,positive
"I got one classified as “good.” I can’t see any damage on the phone. It looks like new. Setting it up went perfectly, absolutely no issues, and e sim was installed without problems. The battery is at 87% which is what I expected. My old phone was a year and a half old and it’s 87% too. The phone though lasts longer than the old iPhone 12.","['get', 'one', 'classify', '“', 'good', '”', 'can', '’', 't', 'see', 'damage', 'phone', 'look', 'like', 'new', 'set', 'go', 'perfectly', 'absolutely', 'issue', 'e', 'sim', 'instal', 'without', 'problem', 'battery', 'expect', 'old', 'phone', 'year', 'half', 'old', 'it', '’', 's', 'phone', 'though', 'last', 'longer', 'old', 'iphone']",4,positive
"The seller is great, we had to send back the first phone because we thought it was defective, it turned out that there is a significant conflict with the portability of the old phone information and 18.0.1 upgrade.  When we cut on the phone we set it up to transfer the old phone material first, then it wanted to upgrade the software prior to the transfer.  The upgrade spooled around for 18 hrs, then the portability function (over WiFi and Cloud) simply would not work.  AT&T couldnt figure it out....we sent the phone back thinking it was defective (turns out it was fine), got a new phone same model, etc.New phone had the same issues, and I was thinking at this point it cannot be coincidence so it must me a software conflict.  And....it was.  After MUCH tinkering with it here is the workaround for those of you who are in the same situation (as an aside, we were upgrading my wife's ancient XE to a 14 but I think this happens with a lot of phones no matter the model)1.  Cut on the new phone2.  Opt to NOT set up the new phone with the old phone (ie, do NOT transfer the old phone data yet).3.  Go to settings, opt to update the software to 18.0.14.  After this, ERASE the phone.  It will keep 18.0.1 on there, it will remove any impediments to port over the information.5.  KEEP the e-sim information on there(it gives you that option when you erase, it is ok not to do it but you will have to put it back on so just keep it on).6.  Boot the phone back up7.  OPT to set it up with the old phone (likely the older phone will prompt you for this first).8.  You can set it up over Wifi or Cloud, make sure you have backed up the old phone on the cloud just before set up if you opt for that.9.  There is an option to use direct cabling to transfer, but it is a pain because Apple insists on using the proprietary cabling they have, so it means you have to first port everything onto a laptop then transfer it.  Safer but not any quicker.  I would not do that unless you have cloud issues and/or bad WiFi.Phone has worked great since we did the workaround, and I want to compliment the seller as they were quick to send a replacement phone to us and very communicative on the issues.  I hope the workaround here helps others, it was utterly baffling to us.  Apple needs to get it together on the portability issues since they just released the new model and apparently this is an issue with a number of older to newer transfers, very disappointing for them to not catch this.","['seller', 'great', 'send', 'back', 'first', 'phone', 'think', 'defective', 'turned', 'significant', 'conflict', 'portability', 'old', 'phone', 'information', 'upgrade', 'cut', 'phone', 'set', 'transfer', 'old', 'phone', 'material', 'first', 'want', 'upgrade', 'software', 'prior', 'transfer', 'upgrade', 'spoil', 'around', 'hrs', 'portability', 'function', 'wifi', 'cloud', 'simply', 'would', 'work', 'att', 'couldnt', 'figure', 'send', 'phone', 'back', 'think', 'defective', 'turn', 'fine', 'get', 'new', 'phone', 'model', 'etch', 'phone', 'issue', 'think', 'point', 'can', 'not', 'coincidence', 'must', 'software', 'conflict', 'audit', 'much', 'lingering', 'workaround', 'situation', 'aside', 'upgrading', 'wife', 'ancient', 'xe', 'think', 'happen', 'lot', 'phone', 'matter', 'model', 'cut', 'new', 'phone', 'opt', 'set', 'new', 'phone', 'old', 'phone', 'ie', 'transfer', 'old', 'phone', 'data', 'yet', 'go', 'setting', 'opt', 'update', 'software', 'erase', 'phone', 'keep', 'remove', 'impediment', 'port', 'information', 'keep', 'sim', 'information', 'therein', 'give', 'option', 'erase', 'ok', 'put', 'back', 'keep', 'boot', 'phone', 'back', 'opt', 'set', 'old', 'phone', 'likely', 'old', 'phone', 'prompt', 'first', 'set', 'wifi', 'cloud', 'make', 'sure', 'back', 'old', 'phone', 'cloud', 'set', 'opt', 'option', 'use', 'direct', 'call', 'transfer', 'pain', 'apple', 'insist', 'use', 'proprietary', 'call', 'mean', 'first', 'port', 'everything', 'onto', 'laptop', 'transfer', 'safer', 'quicker', 'would', 'unless', 'cloud', 'issue', 'ndor', 'bad', 'wifiphone', 'work', 'great', 'since', 'workaround', 'want', 'compliment', 'seller', 'quick', 'send', 'replacement', 'phone', 'u', 'communicative', 'issue', 'hope', 'workaround', 'help', 'others', 'utterly', 'battle', 'u', 'apple', 'need', 'get', 'together', 'portability', 'issue', 'since', 'release', 'new', 'model', 'apparently', 'issue', 'number', 'old', 'new', 'transfer', 'disappointing', 'catch']",5,positive
"I love this phone!!! Mine DID come with a charger, just the cord itself. It’s worked well for me so far I’ve had it over a week and it’s very durable. Great price good condition for the price I paid for 256 GIGS. one little scratch at the top and by the camera but I have a case on so you can’t even tell. Very happy with my purchase 10/10 recommend.","['love', 'phone', 'mine', 'come', 'charger', 'cord', 'it', '’', 's', 'work', 'well', 'far', 'i', '’', 've', 'week', 'it', '’', 's', 'durable', 'great', 'price', 'good', 'condition', 'price', 'pay', 'gigs', 'one', 'little', 'scratch', 'top', 'camera', 'case', 'can', '’', 't', 'even', 'tell', 'happy', 'purchase', 'recommend']",5,positive
Phone came unlocked and I'm in jamaica..battery percent at 88%...my daughter absolutely loved it...minor visible scratches at the bk ...u get what u pay for...functions well...9/10 for me,"['phone', 'come', 'unlocked', 'jamaicabattery', 'percent', 'daughter', 'absolutely', 'love', 'minor', 'visible', 'scratch', 'bk', 'u', 'get', 'u', 'pay', 'forfunctions', 'well']",4,positive
"Overall the phone works great & looks brand new. my only complaint is that I had to restart it one time because it froze when trying to set it up but other than that, works well.","['overall', 'phone', 'work', 'great', 'look', 'brand', 'new', 'complaint', 'restart', 'one', 'time', 'froze', 'try', 'set', 'work', 'well']",4,positive
So Far so good. I have to take it into my phone carrier yet and get my number switched over to it but all in all it's a super nice phone and for the price you cant beat that!! I saved alot of money buy purchasing it off amazon through Bayshine Trading and I would recommend them to anyone.  Thank you so very much!,"['far', 'good', 'take', 'phone', 'carrier', 'yet', 'get', 'number', 'switch', 'super', 'nice', 'phone', 'price', 'cant', 'beat', 'save', 'alot', 'money', 'buy', 'purchase', 'amazon', 'bashing', 'trading', 'would', 'recommend', 'anyone', 'thank', 'much']",5,positive
"Very happy so far with this phone.  It arrived in excellent condition. There was a few tiny scratches, really not noticeable unless you are really looking. The color is exactly as pictured and it holds a charge as it should. I have not had any issues with the phone getting to hot. I have played games and watched videos, the temperature remained fine.Overall, I feel this was a good purchase.","['happy', 'far', 'phone', 'arrive', 'excellent', 'condition', 'tiny', 'scratch', 'really', 'noticeable', 'unless', 'really', 'look', 'color', 'exactly', 'picture', 'hold', 'charge', 'issue', 'phone', 'get', 'hot', 'play', 'game', 'watch', 'videos', 'temperature', 'remain', 'fineoverall', 'feel', 'good', 'purchase']",4,positive
"Item is in good condition, there is a visible scratch on the side of the phone. I think that is what you get for excellent category. If available prefer premium.","['item', 'good', 'condition', 'visible', 'scratch', 'side', 'phone', 'think', 'get', 'excellent', 'category', 'available', 'prefer', 'premium']",4,positive
"I purchased this as I wanted a newer phone and this seemed a less expensive way to go. I was a refurbished iPhone 14. It came in a nice box and a charger cable, but not a charger. Not usually a problem as most people over time accumulate several them over time. It looked brand new and works fine. Unfortunately, I had assumed that refurbished meant “like new”, but apparently it also means “it was checked out, cleaned up and it works”. What it does not mean is a new battery. Mine had a battery with 84% charge capacity. In fairness, the company’s fine print indicates this so that’s on me to have overlooked that. In fairness I did get a “newer” phone just not one that was “like new” which meant like a new one, not just close. So, the iPhone is a newer one and works well, just will not hold a charge as long. If that doesn’t matter then this a good choice.","['purchase', 'want', 'new', 'phone', 'seem', 'less', 'expensive', 'way', 'go', 'refurbished', 'iphone', 'come', 'nice', 'box', 'charger', 'cable', 'charger', 'usually', 'problem', 'people', 'time', 'accumulate', 'several', 'time', 'look', 'brand', 'new', 'work', 'fine', 'unfortunately', 'assume', 'refurbish', 'meant', '“', 'like', 'new', '”', 'apparently', 'also', 'mean', '“', 'it', 'check', 'clean', 'work', '”', 'mean', 'new', 'battery', 'mine', 'battery', 'charge', 'capacity', 'fairness', 'company', '’', 's', 'fine', 'print', 'indicate', 'that', '’', 's', 'overlook', 'fairness', 'get', '“', 'new', '”', 'phone', 'one', '“', 'like', 'new', '”', 'meant', 'like', 'new', 'one', 'close', 'iphone', 'new', 'one', 'work', 'well', 'hold', 'charge', 'long', 'doesn', '’', 't', 'matter', 'good', 'choice']",4,positive
I got the phone about two days ago it’s working good so far no issues the battery is 85 percent which isn’t bad for a used phone the physical appearance is good so far I can say it’s working well and I have it for four days,"['get', 'phone', 'two', 'day', 'ago', 'it', '’', 's', 'work', 'good', 'far', 'issue', 'battery', 'percent', 'isn', '’', 't', 'bad', 'use', 'phone', 'physical', 'appearance', 'good', 'far', 'say', 'it', '’', 's', 'work', 'well', 'four', 'day']",4,positive
I took a chance on purchasing this refurbished phone to replace my old one and truth is so far I am not disappointed. Phone came well packaged and when unwrapped as stated it was in excellent condition.. no visible scratches or anything it was like brand new wow! Will update review after some use but for now I am pleased,"['take', 'chance', 'purchasing', 'refurbish', 'phone', 'replace', 'old', 'one', 'truth', 'far', 'disappointed', 'phone', 'come', 'well', 'package', 'wrap', 'state', 'excellent', 'condition', 'visible', 'scratch', 'anything', 'like', 'brand', 'new', 'wow', 'update', 'review', 'use', 'please']",5,positive
it is in the condition i expected overall very nice,"['condition', 'expect', 'overall', 'nice']",4,positive
i had the smallest crack near my camera and top speaker but other than the the phone is perfect.i dont know if it was just me but its a little slower than a brand new phone to set up eSIM. but after some time i got the hang of it.phone works perfectly! the battery life was af 98% when i got it (4.5 months and it is now at 96%).,"['small', 'crack', 'near', 'camera', 'top', 'speaker', 'phone', 'perfect', 'dont', 'know', 'little', 'slow', 'brand', 'new', 'phone', 'set', 'sim', 'time', 'get', 'hang', 'iphone', 'work', 'perfectly', 'battery', 'life', 'af', 'get', 'month']",4,positive
"Phone seems to be working well, however, cosmetically it has some scratches on the corner that are viewed from further away than 12 inches. Listing says free of scratches when viewed from 12 inches.  Not a big deal, but not as advertised.","['phone', 'seem', 'work', 'well', 'however', 'cosmetically', 'scratch', 'corner', 'view', 'away', 'inch', 'list', 'say', 'free', 'scratch', 'view', 'inch', 'big', 'deal', 'advertise']",4,positive
From the time I opened the box until I was making a call was 30 minutes  My old phone was am I10  It had a SIM card  this new phone needed an eSIM  I had bought another i14  had nothing but problems trying to set up phone  This phone was a breeze  Would totally endorse this phone from this seller,"['time', 'open', 'box', 'make', 'call', 'minute', 'old', 'phone', 'sim', 'card', 'new', 'phone', 'need', 'sim', 'buy', 'another', 'nothing', 'problem', 'try', 'set', 'phone', 'phone', 'breeze', 'would', 'totally', 'endorse', 'phone', 'seller']",5,positive
I received today and it might be too early but the physical condition of the phone was great. Two minor scratches ! And I also checked the phone and it’s a real apple phone. Used only two years . Great condition. Super happy thanks seller,"['receive', 'today', 'might', 'early', 'physical', 'condition', 'phone', 'great', 'two', 'minor', 'scratch', 'also', 'check', 'phone', 'it', '’', 's', 'real', 'apple', 'phone', 'use', 'two', 'year', 'great', 'condition', 'super', 'happy', 'thanks', 'seller']",5,positive
iPhone showed up in like new condition.  Came with lightning cable.  In case someone else runs into the issue I did.  We use Visible which says it’s by Verizon so I assumed (incorrectly) that I could use a Verizon locked phone.  It did not work so I had to return the first phone I bought and I purchased an unlocked phone.  Everything transferred over from my old phone just fine and everything is working great.  No complaints!,"['iphone', 'show', 'like', 'new', 'condition', 'come', 'lightning', 'cable', 'case', 'someone', 'else', 'run', 'issue', 'use', 'visible', 'say', 'it', '’', 's', 'verizon', 'assume', 'incorrectly', 'could', 'use', 'verizon', 'lock', 'phone', 'work', 'return', 'first', 'phone', 'buy', 'purchase', 'unlocked', 'phone', 'everything', 'transfer', 'old', 'phone', 'fine', 'everything', 'work', 'great', 'complaint']",5,positive
