tokenized,topic
"['purchased', 'wanted', 'newer', 'seemed', 'less', 'expensive', 'way', 'go', 'refurbished', 'came', 'nice', 'box', 'charger', 'cable', 'charger', 'usually', 'problem', 'people', 'time', 'accumulate', 'several', 'time', 'looked', 'brand', 'new', 'work', 'fine', 'unfortunately', 'assumed', 'refurbished', 'meant', 'like', 'new', 'apparently', 'also', 'mean', 'checked', 'cleaned', 'work', 'mean', 'new', 'battery', 'mine', 'battery', 'charge', 'capacity', 'fairness', 'company', 'fine', 'print', 'indicates', 'overlooked', 'fairness', 'get', 'newer', 'one', 'like', 'new', 'meant', 'like', 'new', 'one', 'close', 'newer', 'one', 'work', 'well', 'hold', 'charge', 'long', 'matter', 'good', 'choice']",2
"['got', 'two', 'day', 'ago', 'working', 'good', 'far', 'issue', 'battery', 'percent', 'bad', 'used', 'physical', 'appearance', 'good', 'far', 'say', 'working', 'well', 'four', 'day']",0
"['took', 'chance', 'purchasing', 'refurbished', 'replace', 'old', 'one', 'truth', 'far', 'disappointed', 'came', 'well', 'packaged', 'unwrapped', 'stated', 'excellent', 'condition', 'visible', 'scratch', 'anything', 'like', 'brand', 'new', 'wow', 'update', 'review', 'use', 'pleased']",1
"['condition', 'expected', 'overall', 'nice']",0
"['smallest', 'crack', 'near', 'camera', 'top', 'speaker', 'dont', 'know', 'little', 'slower', 'brand', 'new', 'set', 'esim', 'time', 'got', 'hang', 'work', 'perfectly', 'battery', 'life', 'af', 'got', 'month']",1
"['seems', 'working', 'well', 'however', 'cosmetically', 'scratch', 'corner', 'viewed', 'away', 'inch', 'listing', 'say', 'free', 'scratch', 'viewed', 'inch', 'big', 'deal', 'advertised']",0
"['time', 'opened', 'box', 'making', 'call', 'minute', 'old', 'sim', 'card', 'new', 'needed', 'esim', 'bought', 'another', 'nothing', 'problem', 'trying', 'set', 'breeze', 'would', 'totally', 'endorse', 'seller']",3
"['received', 'today', 'might', 'early', 'physical', 'condition', 'great', 'two', 'minor', 'scratch', 'also', 'checked', 'real', 'used', 'two', 'year', 'great', 'condition', 'super', 'happy', 'thanks', 'seller']",3
"['showed', 'like', 'new', 'condition', 'came', 'lightning', 'cable', 'case', 'someone', 'else', 'run', 'issue', 'use', 'visible', 'say', 'verizon', 'assumed', 'incorrectly', 'could', 'use', 'verizon', 'locked', 'work', 'return', 'first', 'bought', 'purchased', 'unlocked', 'everything', 'transferred', 'old', 'fine', 'everything', 'working', 'great', 'complaint']",2
"['tried', 'save', 'money', 'renew', 'xfinity', 'plan', 'another', 'month', 'buying', 'refurbished', 'son', 'looked', 'brand', 'new', 'even', 'though', 'unlocked', 'spent', 'hour', 'xfinity', 'person', 'trying', 'get', 'xfinity', 'account', 'frustrating', 'even', 'called', 'one', 'could', 'figure', 'wrong', 'finally', 'gave', 'bought', 'new', 'xfinity', 'seller', 'great', 'issuing', 'refund', 'actually', 'happened', 'quickly', 'hindsight', 'wish', 'bought', 'new', 'one', 'xfinity', 'start', 'gave', 'seller', 'cause', 'think', 'fault', 'email', 'twice', 'answer', 'back', 'really', 'help', 'much', 'responsive', 'refund']",3
"['came', 'excellent', 'condition', 'described', 'fiancé', 'happier', 'work', 'well', 'screen', 'body', 'flawless', 'great', 'battery', 'health', 'need', 'new']",0
"['came', 'great', 'condition', 'scratch', 'anything', 'battery', 'health', 'everything', 'order', 'kept', 'getting', 'delayed', 'great']",1
"['like', 'new', 'condition']",2
"['pretty', 'much', 'important', 'thing', 'matter', 'camera', 'scratch', 'even', 'overall', 'always', 'battery', 'excellent', 'condition', 'hope', 'last', 'bought', 'use', 'peru', 'state', 'charging', 'whole', 'lot', 'less', 'convenient', 'u', 'surrounded', 'charger', 'update', 'within', 'month', 'see', 'battery', 'life', 'hold', 'look', 'great', 'even', 'got', 'cable', 'charger', 'box', 'plus']",0
"['issue', 'dent', 'scratch', 'nothing', 'clean', 'crips', 'complaint', 'came', 'time', 'exact', 'ordered', 'color', 'everything', 'battery', 'health', 'great']",1
"['ordered', 'good', 'condition', 'according', 'amazon', 'supposed', 'scratch', 'screen', 'good', 'condition', 'deep', 'scratch', 'smaller', 'scratch', 'screen', 'upset', 'follow', 'amazon', 'say', 'battery', 'health', 'make', 'scratch', 'bit', 'disappointed', 'scratchesbesides', 'good', 'condition', 'bit', 'scuff', 'mark', 'side', 'case', 'hid', 'speaker', 'loud', 'fully', 'unlocked', 'able', 'switch', 'carrier', 'easily', 'worried', 'saw', 'review', 'saying', 'unlocked', 'happy', 'scratch', 'disappointing']",1
"['got', 'perfect', 'condition', 'even', 'battery', 'life', 'glad', 'got', 'refurbished', 'amazon']",1
"['glitching', 'lag', 'work', 'good', 'new', 'honestly', 'complaint', 'writing', 'review', 'right', 'box', 'presentation', 'giving', 'brand', 'new', 'could', 'tell', 'refurbished', 'already', 'know', 'look', 'good', 'feel', 'good', 'definitely', 'give', 'quality']",1
"['good', 'battery', 'life', 'red']",0
"['battery', 'life', 'sure', 'defect', 'weird', 'back', 'camera', 'issue', 'yet', 'setting', 'speak', 'customer', 'issue', 'far', 'good', 'edit', 'week', 'weird', 'junk', 'back', 'camera', 'scratch', 'dent', 'working', 'properly', 'downside', 'camera', 'detect', 'qr', 'code', 'deal', 'breaker', 'glad', 'work', 'satisfied', 'used']",1
"['new', 'three', 'day', 'love', 'call', 'tracfone', 'get', 'set', 'nice', 'set', 'minute', 'much', 'easier', 'use', 'old', 'happy', 'new', 'itis', 'easy', 'use']",2
"['give', 'seller', 'product', 'held', 'writing', 'review', 'give', 'time', 'month', 'issue', 'bought', 'used', 'even', 'scratch', 'screen']",1
"['arrived', 'packaged', 'nicely', 'included', 'charging', 'cube', 'cord', 'present', 'driver', 'license', 'sign', 'fedex', 'delivered', 'scratch', 'side', 'front', 'back', 'screen', 'look', 'new', 'disappointed', 'however', 'check', 'battery', 'health', 'would', 'thought', 'excellent', 'like', 'new', 'would', 'came', 'new', 'battery', 'since', 'always', 'experience', 'refurbished', 'product', 'realize', 'certified', 'refurbished', 'product', 'purchased', 'gift', 'daughter', 'time', 'return', 'get', 'different', 'price', 'paid', 'would', 'expected', 'like', 'new', 'new', 'battery']",2
"['sure', 'face', 'protective', 'screen', 'please', 'advise', 'happy', 'everything']",3
"['came', 'pristine', 'condition', 'sold', 'bayshine', 'trading', 'came', 'much', 'lower', 'price', 'compared', 'seller', 'still', 'arrived', 'amazing', 'condition', 'even', 'arriving', 'battery', 'health', 'complaint', 'whatsoever', 'definitely', 'looking', 'guy']",3
"['wayyyyy', 'smaller', 'thought', 'look', 'almost', 'like', 'anyways', 'also', 'slot', 'enter', 'sim', 'card', 'came', 'sim', 'card', 'opener', 'thing', 'really', 'make', 'sense', 'started', 'using', 'pretty', 'small']",1
"['far', 'good', 'hesitant', 'purchase', 'looked', 'brand', 'new', 'dirt', 'build', 'around', 'camera', 'previous', 'case', 'great', 'thank']",1
"['ordered', 'basic', 'quality', 'level', 'mixed', 'feeling', 'ordering', 'like', 'got', 'ta', 'one', 'lucky', 'one', 'one', 'get', 'good', 'one', 'rolled', 'dice', 'cheap', 'bastered', 'love', 'quality', 'time', 'haha', 'got', 'lucky', 'mint', 'condition', 'problem', 'battery', 'life', 'setting', 'said', 'percent', 'nearly', 'month', 'changed', 'charge', 'percent', 'every', 'time', 'last', 'long', 'time', 'dy', 'percent', 'life', 'everything', 'else', 'perfect', 'ordered', 'basic', 'cheapest', 'quality', 'level']",0
"['update', 'picture', 'overall', 'nice', 'work', 'great', 'scratch', 'chip', 'battery', 'life', 'huge', 'deal', 'home', 'lot', 'time', 'keep', 'charged', 'side', 'obviously', 'painted', 'see', 'back', 'front', 'glass', 'little', 'bit', 'cosmetic', 'battery', 'life', 'would', 'recommend']",1
"['good', 'work', 'great', 'scratch', 'battery', 'good', 'look', 'like', 'new', 'thank']",0
"['boyfriend', 'love', 'new', 'looked', 'like', 'new', 'got', 'never', 'bought', 'used', 'talked', 'good', 'experience', 'used', 'amazon', 'glad', 'saving', 'store', 'going', 'cost', 'love', 'feature']",1
"['far', 'good', 'nocomplaints', 'work', 'properly', 'arrived', 'quick', 'well', 'excellent', 'condition']",0
"['screen', 'quality', 'good', 'sound', 'quality', 'great', 'value', 'money', 'ease', 'use']",0
"['good', 'part', 'however', 'completely', 'wiped', 'facebook', 'account', 'transfer', 'previous', 'owner', 'account', 'go', 'away']",2
"['excellent', 'came', 'battery', 'life', 'pretty', 'blue', 'color', 'set', 'less', 'minute', 'total', 'along', 'esim', 'account', 'transfer']",0
"['got', 'mine', 'fast', 'open', 'today', 'love', 'fault', 'far', 'clean', 'scratch']",1
"['wow', 'amazing', 'quality', 'body', 'look', 'flawless', 'system', 'run', 'beautifully', 'thing', 'battery', 'dy', 'really', 'quickly', 'overall', 'amazing']",0
"['arrived', 'order', 'happens', 'time', 'time', 'always', 'happen', 'quality', 'service', 'event', 'issue', 'easy', 'return', 'quick', 'turn', 'around', 'refund']",3
"['pleased', 'purchased', 'amazon', 'truly', 'unlocked', 'use', 'prepaid', 'service', 'straight', 'talk', 'able', 'simply', 'call', 'company', 'number', 'transferred', 'easy', 'peasy', 'look', 'like', 'would', 'went', 'store', 'purchased', 'brand', 'new']",2
"['came', 'perfect', 'condition', 'scratch', 'battery', 'life', 'still', 'great', 'love', 'purchase', 'son']",1
"['came', 'excellent', 'condition', 'battery', 'health', 'consider', 'pretty', 'good', 'came', 'fully', 'unlocked', 'advertised']",1
"['overall', 'good', 'purchase', 'fast', 'shipping', 'almost', 'great', 'got', 'yr', 'old', 'first', 'type', 'return', 'anything', 'dealing', 'one', 'issue', 'front', 'camera', 'broken', 'stay', 'pink', 'suck', 'main', 'use', 'send', 'back', 'wait', 'another', 'anywho', 'worst', 'refurbish', 'bought', 'else', 'great']",3
"['good', 'product']",1
"['purchased', 'based', 'many', 'good', 'review', 'arrived', 'quickly', 'cosmetically', 'beautiful', 'scratch', 'ding', 'dent', 'functional', 'battery', 'life', 'arrival', 'month', 'later', 'looked', 'premium', 'rating', 'since', 'use', 'gaming', 'internet', 'occasional', 'texting', 'probably', 'ok']",1
"['seems', 'fine', 'product', 'description', 'said', 'need', 'get', 'sim', 'card', 'provider', 'us', 'esim', 'sim', 'tray', 'caused', 'confusion']",0
"['good', 'condition']",0
"['though', 'either', 'low', 'battery', 'health', 'scratched', 'screen', 'fault', 'find', 'fault']",2
"['super', 'happy', 'battery', 'capacity', 'great', 'shape', 'price']",0
"['delivered', 'three', 'day', 'early', 'work', 'great', 'setup', 'information', 'transfer', 'seamless', 'new', 'ready', 'use', 'minute', 'first', 'time', 'ever', 'bought', 'cell', 'service', 'provider', 'could', 'pleased', 'experience', 'definitely', 'buy', 'seller']",2
"['look', 'brand', 'new', 'even', 'scratch', 'could', 'happier', 'purchase', 'highly', 'recommend']",2
"['awesome', 'product', 'chose', 'excellent', 'unlocked', 'version', 'absolutely', 'issue', 'connecting', 'brand', 'new', 'condition', 'blemish', 'scratch', 'damage', 'sort', 'would', 'recommend', 'seller', 'anybody']",1
"['enjoying', 'since', 'moment', 'gotten', 'battery', 'life', 'great', 'easy', 'use', 'got', 'used', 'feature', 'like', 'week']",2
"['impressed', 'reliability', 'second', 'purchase', 'seller', 'great', 'experience']",0
"['nice', 'quality', 'scratch', 'outside', 'nothing', 'major', 'battery', 'health', 'ok', 'bad', 'could', 'better', 'price', 'good']",1
"['arrived', 'perfect', 'condition']",1
"['used', 'look', 'like', 'brand', 'new']",2
"['experienced', 'span', 'hour', 'due', 'work', 'keep', 'performance', 'issue', 'experienced', 'needed', 'quick', 'last', 'died', 'appreciate', 'quick', 'turn', 'around', 'order', 'delivery', 'starter', 'refurbished', 'one', 'ordered', 'received', 'took', 'long', 'time', 'set', 'pair', 'another', 'get', 'everything', 'transferred', 'tried', 'would', 'see', 'latest', 'update', 'would', 'take', 'day', 'complete', 'timeline', 'never', 'reached', 'helped', 'get', 'set', 'however', 'several', 'performance', 'issue', 'time', 'took', 'get', 'set', 'started', 'soon', 'delivered', 'seeing', 'update', 'still', 'completed', 'around', 'worked', 'support', 'get', 'finally', 'set', 'around', 'issue', 'charging', 'port', 'loose', 'even', 'connected', 'plug', 'charger', 'always', 'charge', 'also', 'impacted', 'connection', 'carplay', 'driving', 'would', 'sitting', 'seat', 'beside', 'plugged', 'moved', 'slightly', 'connection', 'work', 'unplug', 'plug', 'back', 'tight', 'enough', 'keep', 'good', 'issue', 'screen', 'responsiveness', 'phantom', 'typing', 'needed', 'tap', 'select', 'anything', 'closer', 'edge', 'screen', 'register', 'time', 'screen', 'respond', 'face', 'picked', 'would', 'see', 'randomly', 'typing', 'character', 'home', 'screen', 'search', 'box', 'would', 'manually', 'turn', 'screen', 'side', 'button', 'also', 'issue', 'front', 'facing', 'camera', 'sensor', 'camera', 'really', 'fuzzy', 'able', 'pick', 'anything', 'time', 'sensor', 'always', 'correctly', 'adjust', 'screen', 'brightness', 'night', 'physical', 'also', 'scratch', 'dent', 'care', 'cosmetic', 'much', 'received', 'along', 'line', 'poor', 'condition', 'seller', 'think', 'would', 'good', 'idea', 'intensive', 'performance', 'testing', 'send', 'also', 'include', 'correct', 'setup', 'instruction', 'device', 'customer', 'set', 'running', 'ease', 'waste', 'half', 'day', 'trying', 'get', 'setup', 'issue', 'hassle', 'experienced', 'sent', 'cost', 'effective', 'go', 'buy', 'model', 'new', 'condition', 'additional', 'local', 'best', 'buy']",1
"['perfect', 'condition']",1
['perfect'],1
"['quality', 'great', 'battery', 'health', 'last', 'long']",0
"['scratch', 'issue', 'seller', 'product', 'looked', 'like', 'new', 'zero', 'wear', 'tear', 'issue', 'back', 'shining', 'like', 'new']",2
['wanted'],3
"['think', 'got', 'pretty', 'much', 'brand', 'new', 'lol', 'battery', 'health', 'wise', 'whatever', 'everything', 'perfect', 'set']",2
"['love', 'great', 'condition', 'excellent', 'purchased', 'minor', 'scratch', 'big', 'enough', 'spoil', 'look', 'battery', 'health', 'annoyed', 'bad', 'buy', 'around']",0
"['look', 'great', 'everything', 'transferred', 'perfectly', 'issue', 'battery', 'percent', 'good']",0
"['think', 'amazing', 'size', 'exactly', 'like', 'picture', 'think', 'amazing', 'charge', 'fast', 'dy', 'little', 'bit', 'quickly', 'really', 'like', 'overall']",0
"['screen', 'quality', 'excellent', 'touch', 'screen', 'good', 'sound', 'quality', 'good', 'battery', 'good', 'overall', 'everything', 'good', 'slot', 'physical', 'sim', 'card', 'need', 'virtually', 'happy', 'purchase', 'came', 'today', 'anything', 'else', 'noticeable', 'give', 'review']",0
"['happy', 'received', 'beautiful', 'like']",3
"['pleased', 'easy', 'set', 'work', 'like', 'charm', 'thank', 'excellent', 'transaction']",2
"['first', 'incredibly', 'smooth', 'use', 'everything', 'run', 'without', 'basic', 'task', 'heavy', 'apps', 'fast', 'responsive', 'lag', 'make', 'experience', 'look', 'amazing', 'sleek', 'stylish', 'build', 'feel', 'premium', 'hand', 'simple', 'classy', 'honestly', 'way', 'better', 'camera', 'another', 'highlight', 'photo', 'video', 'come', 'super', 'clear', 'vibrant', 'color', 'sharp', 'detail', 'love', 'capturing', 'moment', 'let', 'talk', 'great', 'value', 'money', 'offer', 'absolute', 'steal', 'honestly', 'feel', 'like', 'got', 'paid', 'fantastic', 'totally', 'worth', 'buying', 'recommend', 'anyone', 'heartbeat', 'thanks', 'amazon', 'awesome', 'product']",1
"['ordered', 'overall', 'decent', 'price', 'nice', 'however', 'flaw', 'example', 'much', 'many', 'setting', 'limited', 'option', 'setting', 'pretty', 'much', 'basic', 'setting', 'well', 'top', 'screen', 'scroll', 'finger', 'basic', 'option', 'overall', 'found', 'simple', 'yet', 'nice', 'price', 'one', 'thing', 'dislike', 'sound', 'quality', 'taking', 'advance', 'option', 'increase', 'volume', 'volume', 'lower', 'expected', 'compared', 'phone', 'already', 'volume', 'high', 'however', 'sound', 'clear', 'help', 'hear', 'person', 'saying', 'yet', 'would', 'really', 'nice', 'advanced', 'option', 'increase', 'volume', 'one', 'thing', 'notice', 'last', 'update', 'sure', 'suppose', 'like', 'tried', 'updating', 'say', 'date', 'little', 'odd', 'thing', 'overall', 'decent', 'satisfied', 'get', 'pay', 'right', 'update', 'lasted', 'month', 'screen', 'literally', 'coming', 'shown', 'pic', 'either', 'get', 'fixed', 'dont', 'find', 'worth']",0
"['first', 'smartphone', 'love', 'easy', 'use', 'color', 'size', 'screen', 'great', 'battery', 'life', 'long', 'sound', 'quality', 'great', 'feel', 'great', 'hand', 'color', 'resolution', 'great', 'photo', 'great', 'highly', 'recommend', 'anyone', 'looking', 'replacement', 'screen', 'display', 'great', 'bright', 'clear', 'volume', 'great']",0
"['worst', 'ever', 'hour', 'acting', 'malfunctioning', 'mess', 'never', 'getting', 'refund', 'asap', 'look', 'nice', 'garbage']",1
